model,condition,theta,seed,metric,value,fs_hz,w3_rad_s,demod_lp_frac,nbw_rel,welch_nperseg,welch_noverlap,psd_norm,is_surrogate,psd_nrmse,config_hash,run_id,holm_family,wall_s,ode_steps,timestamp,status,failure_reason
classical,ou,0.7,407205334,baseband_power,1.2032424225934077e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04205812500000006,12000.0,2025-10-10T15:40:25.664022Z,ok,
classical,psd_matched,0.7,407205334,baseband_power,1.0645888168079375e-31,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04203299999999999,12000.0,2025-10-10T15:40:25.664039Z,ok,
classical,ou,0.7,407205334,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04205812500000006,12000.0,2025-10-10T15:40:25.664049Z,ok,
classical,psd_matched,0.7,407205334,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04203299999999999,12000.0,2025-10-10T15:40:25.664052Z,ok,
classical,ou,1.0,3383382447,baseband_power,1.4207677617839018e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.0424199999999999,12000.0,2025-10-10T15:40:31.178448Z,ok,
classical,psd_matched,1.0,3383382447,baseband_power,7.582982458351719e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.042087457999999245,12000.0,2025-10-10T15:40:31.178461Z,ok,
classical,ou,1.0,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.0424199999999999,12000.0,2025-10-10T15:40:31.178464Z,ok,
classical,psd_matched,1.0,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.042087457999999245,12000.0,2025-10-10T15:40:31.178466Z,ok,
classical,ou,1.3,1408818565,baseband_power,8.86303948920161e-32,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04267237500000043,12000.0,2025-10-10T15:40:33.945862Z,ok,
classical,psd_matched,1.3,1408818565,baseband_power,1.7693369580160677e-31,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04216974999999934,12000.0,2025-10-10T15:40:33.945874Z,ok,
classical,ou,1.3,1408818565,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04267237500000043,12000.0,2025-10-10T15:40:33.945877Z,ok,
classical,psd_matched,1.3,1408818565,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,0.04216974999999934,12000.0,2025-10-10T15:40:33.945879Z,ok,
classical,psd_overlay,0.7,-1,psd_nrmse,0.01148789644849619,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.01148789644849619,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,nan,nan,2025-10-10T15:40:35.834827Z,ok,
classical,psd_overlay,1.0,-1,psd_nrmse,0.007514193891281111,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.007514193891281111,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,nan,nan,2025-10-10T15:40:36.200365Z,ok,
classical,psd_overlay,1.3,-1,psd_nrmse,0.011682039100434992,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.011682039100434992,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,a43a946d,classical_ou_vs_surrogate,nan,nan,2025-10-10T15:40:36.565060Z,ok,
