model,condition,theta,seed,metric,value,fs_hz,w3_rad_s,demod_lp_frac,nbw_rel,welch_nperseg,welch_noverlap,psd_norm,is_surrogate,psd_nrmse,config_hash,run_id,holm_family,wall_s,ode_steps,timestamp,status,failure_reason
classical,ou,0.7,2132742179,baseband_power,8.954994681629834e-32,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.04234579199999988,12000.0,2025-10-10T15:32:44.360742Z,ok,
classical,psd_matched,0.7,2132742179,baseband_power,3.831951886177652e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.04234091600000012,12000.0,2025-10-10T15:32:44.360771Z,ok,
classical,ou,0.7,2132742179,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.04234579199999988,12000.0,2025-10-10T15:32:44.360774Z,ok,
classical,psd_matched,0.7,2132742179,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.04234091600000012,12000.0,2025-10-10T15:32:44.360777Z,ok,
classical,ou,1.0,2524608441,baseband_power,3.726814636211035e-32,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.04316387499999941,12000.0,2025-10-10T15:32:48.027095Z,ok,
classical,psd_matched,1.0,2524608441,baseband_power,1.1884376148180202e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.042917000000000094,12000.0,2025-10-10T15:32:48.027113Z,ok,
classical,ou,1.0,2524608441,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.04316387499999941,12000.0,2025-10-10T15:32:48.027116Z,ok,
classical,psd_matched,1.0,2524608441,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.042917000000000094,12000.0,2025-10-10T15:32:48.027118Z,ok,
classical,ou,1.3,180260359,baseband_power,4.3305653005236795e-32,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.042081500000000105,12000.0,2025-10-10T15:32:49.859955Z,ok,
classical,psd_matched,1.3,180260359,baseband_power,7.190123376382801e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.043033458000000024,12000.0,2025-10-10T15:32:49.859968Z,ok,
classical,ou,1.3,180260359,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.042081500000000105,12000.0,2025-10-10T15:32:49.859971Z,ok,
classical,psd_matched,1.3,180260359,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,0.043033458000000024,12000.0,2025-10-10T15:32:49.859973Z,ok,
classical,psd_overlay,0.7,-1,psd_nrmse,0.013769574608453303,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.013769574608453303,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,nan,nan,2025-10-10T15:32:51.737511Z,ok,
classical,psd_overlay,1.0,-1,psd_nrmse,0.0089681772031091,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.0089681772031091,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,nan,nan,2025-10-10T15:32:52.112318Z,ok,
classical,psd_overlay,1.3,-1,psd_nrmse,0.010612459186995814,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.010612459186995814,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,feb5a872,classical_ou_vs_surrogate,nan,nan,2025-10-10T15:32:52.472485Z,ok,
