Theta,calibration,R_env_mean,R_env_ci_low,R_env_ci_high
0.01,equal_variance,1,nan,nan
0.0126638017347,equal_variance,1.00065348364,1.00065348325,1.00065348399
0.0160371874375,equal_variance,1.00383380731,1.003833805,1.00383380929
0.020309176209,equal_variance,1.01455607604,1.01455606716,1.01455608394
0.0257191380906,equal_variance,1.04172828117,1.04172825452,1.04172830352
0.0325702065566,equal_variance,1.09723269819,1.09723263424,1.09723275494
0.041246263829,equal_variance,1.19413899496,1.19413885643,1.1941391157
0.0522334507427,equal_variance,1.34569385935,1.34569358398,1.34569410282
0.0661474064123,equal_variance,1.56566525052,1.56566472782,1.56566570235
0.0837677640068,equal_variance,1.86957783266,1.86957688694,1.86957865826
0.106081835514,equal_variance,2.27626332877,2.27626165508,2.27626479498
0.13433993326,equal_variance,2.80947693013,2.80947409399,2.809479475
0.170125427985,equal_variance,3.49959895575,3.49959412795,3.49960328828
0.215443469003,equal_variance,4.38555458694,4.38554665302,4.38556183939
0.272833337649,equal_variance,5.51711386924,5.51710062504,5.51712581925
0.345510729459,equal_variance,6.95774237574,6.95772059839,6.95776192696
0.437547937507,equal_variance,8.78818773118,8.78815244538,8.78821884331
0.554102033001,equal_variance,11.1110165653,11.1109544111,11.1110653273
0.70170382867,equal_variance,14.056361816,14.0562374412,14.0564377349
0.888623816274,equal_variance,17.789202142,17.7889596716,17.7893311821
1.1253355826,equal_variance,22.5185745603,22.5180623105,22.5188044324
1.4251026703,equal_variance,28.5092195443,28.5082994745,28.5096845595
1.80472176683,equal_variance,36.0962749346,36.0945204356,36.097265248
2.28546386413,equal_variance,45.7037676638,45.7003928956,45.7060025637
2.89426612472,equal_variance,57.8677881045,57.8611089324,57.8726987546
3.66524123708,equal_variance,73.2653387794,73.2522683761,73.2760755268
4.64158883361,equal_variance,92.7498543229,92.7233652311,92.7726903448
5.87801607227,equal_variance,117.394137925,117.340668934,117.442145147
7.44380301325,equal_variance,148.540637492,148.433872055,148.640787014
9.42668455118,equal_variance,187.856989254,187.638935458,188.06380697
11.9377664171,equal_variance,237.390504291,236.955044344,237.817592931
15.1177507062,equal_variance,299.60704112,298.722120466,300.474778887
19.1448197617,equal_variance,377.385436184,375.599619374,379.16799813
24.2446201708,equal_variance,473.918128025,470.347781778,477.435452246
30.7029062976,equal_variance,592.450746829,585.469337562,599.49518745
38.8815518031,equal_variance,735.813003036,722.348908235,749.451048361
49.2388263171,equal_variance,905.828703645,881.111396978,931.534229363
62.3550734127,equal_variance,1103.024298,1057.16968175,1149.96243155
78.965228685,equal_variance,1327.43384261,1246.92852255,1408.51164376
100,equal_variance,1581.03528747,1450.88725954,1714.76765989
0.01,equal_carrier,1,nan,nan
0.0126638017347,equal_carrier,0.790216010876,0.790216010566,0.79021601115
0.0160371874375,equal_carrier,0.626039690232,0.626039688789,0.626039691488
0.020309176209,equal_carrier,0.499711580993,0.499711576681,0.499711584883
0.0257191380906,equal_carrier,0.405267518074,0.405267507908,0.40526752677
0.0325702065566,equal_carrier,0.337205977551,0.337205958222,0.33720599499
0.041246263829,equal_carrier,0.28997800356,0.289977969967,0.289978033317
0.0522334507427,equal_carrier,0.258307735482,0.258307682624,0.258307782216
0.0661474064123,equal_carrier,0.237705245898,0.237705166541,0.237705314497
0.0837677640068,equal_carrier,0.22472946525,0.224729355348,0.224729566981
0.106081835514,equal_carrier,0.216969168561,0.21696901278,0.216969308339
0.13433993326,equal_carrier,0.212884889326,0.212884678358,0.212885084996
0.170125427985,equal_carrier,0.211639532832,0.211639247903,0.211639794868
0.215443469003,equal_carrier,0.212986504286,0.212986118234,0.212986855767
0.272833337649,equal_carrier,0.21724633391,0.217245819084,0.217246804463
0.345510729459,equal_carrier,0.225392787784,0.225392075966,0.225393417112
0.437547937507,equal_carrier,0.239279461125,0.239278480306,0.239280288931
0.554102033001,equal_carrier,0.262063096836,0.262061585252,0.262064239958
0.70170382867,equal_carrier,0.298921724449,0.298919190425,0.298923340177
0.888623816274,equal_carrier,0.358231485376,0.358226602607,0.35823408393
1.1253355826,equal_carrier,0.45346960189,0.453459112683,0.453474199808
1.4251026703,equal_carrier,0.606275306544,0.606256490463,0.606285295298
1.80472176683,equal_carrier,0.85136238777,0.851321006369,0.851385745182
2.28546386413,equal_carrier,1.24439454783,1.24430381605,1.24445542283
2.89426612472,equal_carrier,1.87459974506,1.87439082113,1.87475907738
3.66524123708,equal_carrier,2.88495518304,2.88444051228,2.88537796188
4.64158883361,equal_carrier,4.5044399411,4.503153486,4.50553930739
5.87801607227,equal_carrier,7.09945362932,7.09624577503,7.10239472702
7.44380301325,equal_carrier,11.2554962932,11.2475309094,11.2631430689
9.42668455118,equal_carrier,17.9061773089,17.8858677876,17.9258907873
11.9377664171,equal_carrier,28.5351271034,28.4827833714,28.5867232839
15.1177507062,equal_carrier,45.4874791138,45.354613854,45.6205594258
19.1448197617,equal_carrier,72.4396390364,72.0988592576,72.7824289607
24.2446201708,equal_carrier,115.08361522,114.2166124,115.93774247
30.7029062976,equal_carrier,182.074352655,179.918478627,184.239278554
38.8815518031,equal_carrier,286.256133098,281.018145053,291.561793778
49.2388263171,equal_carrier,446.158772588,433.698733069,458.819826225
62.3550734127,equal_carrier,687.899714883,659.302541182,717.172622778
78.965228685,equal_carrier,1048.2744456,985.292798477,1112.30158151
100,equal_carrier,1581.03528747,1450.42136281,1714.30176315
